type,name,function,time(ns)
small,MSC,null,0.995
small,MSC,std::strtod,108.505
small,MSC,std::from_chars,61.679
small,GOOGLE,double_conversion::StringToDouble,55.423
small,RYU,s2d,30.447
small,Q-TEE,CRT::StringToReal,95.129
medium,MSC,null,1.257
medium,MSC,std::strtod,79.800
medium,MSC,std::from_chars,57.730
medium,GOOGLE,double_conversion::StringToDouble,67.276
medium,RYU,s2d,19.736
medium,Q-TEE,CRT::StringToReal,34.485
large,MSC,null,1.031
large,MSC,std::strtod,924.112
large,MSC,std::from_chars,835.458
large,GOOGLE,double_conversion::StringToDouble,359.543
large,RYU,s2d,34.698
large,Q-TEE,CRT::StringToReal,196.863
