type,name,function,time(ns)
small,MSC,null,1.495
small,MSC,std::sprintf,208.295
small,MSC,std::to_chars,20.474
small,MSC,std::to_string,319.159
small,MSC,std::ostringstream,693.170
small,STB,stbsp_snprintf,77.036
small,GOOGLE,double_conversion::ToFixed,38.416
small,MILO,dtoa_milo,29.266
small,RYU,d2fixed_buffered,21.155
small,FPCONV,fpconv_dtoa,50.330
small,Q-TEE,CRT::RealToString,10.721
medium,MSC,null,1.501
medium,MSC,std::sprintf,218.274
medium,MSC,std::to_chars,21.075
medium,MSC,std::to_string,427.332
medium,MSC,std::ostringstream,753.094
medium,STB,stbsp_snprintf,71.338
medium,GOOGLE,double_conversion::ToFixed,47.025
medium,MILO,dtoa_milo,28.156
medium,RYU,d2fixed_buffered,33.310
medium,FPCONV,fpconv_dtoa,51.175
medium,Q-TEE,CRT::RealToString,14.273
large,MSC,null,1.291
large,MSC,std::sprintf,2816.232
large,MSC,std::to_chars,20.319
large,MSC,std::to_string,5658.377
large,MSC,std::ostringstream,4052.216
large,STB,stbsp_snprintf,135.971
large,GOOGLE,double_conversion::ToFixed,2.200
large,MILO,dtoa_milo,35.190
large,RYU,d2fixed_buffered,249.957
large,FPCONV,fpconv_dtoa,47.681
large,Q-TEE,CRT::RealToString,2936.432
